date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:23	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2020:46:22%20GMT	https://holenet.info/robots.txt		(from )
21:46:23	42952/42952	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Jun%202024%2020:46:23%20GMT	https://holenet.info/	./holenet.info/index.html	(from )
21:46:24	1865/1865	---M-Z	200	added ('OK')	text/css	etag:%22749-5647dc935f740-gzip%22	https://holenet.info/assets/css/reset.css	./holenet.info/assets/css/reset.css	(from https://holenet.info/)
21:46:25	15056/15056	---M-Z	200	added ('OK')	text/css	etag:%223ad0-5653304833b40-gzip%22	https://holenet.info/assets/css/desktop.css	./holenet.info/assets/css/desktop.css	(from https://holenet.info/)
21:46:26	5724/5724	---M--	200	added ('OK')	image/png	etag:%22165c-5750a8faaa000%22	https://holenet.info/apple-touch-icon.png?v=ng99E6znPr	./holenet.info/apple-touch-icon288f.png	(from https://holenet.info/)
21:46:27	1727/1727	---M--	200	added ('OK')	image/png	etag:%226bf-5750a9070fd40%22	https://holenet.info/favicon-32x32.png?v=ng99E6znPr	./holenet.info/favicon-32x32288f.png	(from https://holenet.info/)
21:46:28	954/954	---M--	200	added ('OK')	image/png	etag:%223ba-5750a9061bb00%22	https://holenet.info/favicon-16x16.png?v=ng99E6znPr	./holenet.info/favicon-16x16288f.png	(from https://holenet.info/)
21:46:29	476/476	---M--	200	added ('OK')	text/html	etag:%221dc-5750a90ae0640%22	https://holenet.info/site.webmanifest?v=ng99E6znPr	./holenet.info/site288f.html	(from https://holenet.info/)
21:46:30	3859/3859	---M--	200	added ('OK')	image/svg+xml	etag:%22f13-5750a909ec400%22	https://holenet.info/safari-pinned-tab.svg?v=ng99E6znPr	./holenet.info/safari-pinned-tab288f.svg	(from https://holenet.info/)
21:46:31	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223aee-5750a9061bb00%22	https://holenet.info/favicon.ico?v=ng99E6znPr	./holenet.info/favicon288f.ico	(from https://holenet.info/)
21:46:32	3904/3904	---M--	200	added ('OK')	image/png	etag:%22f40-5750a90803f80%22	https://holenet.info/mstile-144x144.png?v=ng99E6znPr	./holenet.info/mstile-144x144288f.png	(from https://holenet.info/)
